Company,City_Country,Amount_USD,Round,Sector,Source,Lead_Investors,Description,Relevance_Score,Why_Relevant,Criteria_Matched,Recommended_ACTION
Aizy,Netherlands,€2M,Unknown,AI marketing,EU-Startups Feb 19,Unknown,AI marketing platform,8,Consumer/creative marketing AI in Europe matching geography,Sector ✓ Location ✓,REACH_OUT
Apptronik,Austin TX,$520M,Series A-X,AI robotics,FINSmes Feb 17,Unknown,AI-powered robotics platform,5,Robotics lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Breaker,Austin TX/Sydney,$6M,Seed,Defense tech,FINSmes Feb 19,Unknown,Defense technology startup,4,Defense tech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Code Metal,Boston MA,$125M,Series B,Code translation AI,StrictlyVC Feb 21,Salesforce Ventures + Accel,$1.25B valuation - AI code translation,5,Enterprise software lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Codoxo,Duluth GA,$35M,Series C,Healthcare AI,FINSmes Feb 18,Unknown,Healthcare AI platform,4,Healthcare lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Cogent Security,San Francisco CA,$42M,Series A,AI cybersecurity,FINSmes Feb 19,Unknown,AI-powered cybersecurity,4,Enterprise security lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Copla,Vilnius,€6M,Series A,Fintech compliance,StrictlyVC Feb 20,Unknown,Fintech compliance platform,4,Fintech/B2B lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
CubaseBio,Sweden,Unknown,Unknown,Spatial biology,Sunday CET,Unknown,Spatial biology platform,4,Biotech lacks consumer/creative focus,Sector ✗ Stage ✗,MONITOR
DG Matrix,Morrisville NC,$60M,Series A,Energy/solid-state transformers,FINSmes Feb 19,Unknown,Energy/solid-state transformer technology,3,Energy infrastructure lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Efficient Computer,Pittsburgh PA,$60M,Series A,Energy-efficient processors,FINSmes Feb 19,Unknown,Energy-efficient processor manufacturer,3,Hardware manufacturer lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
EFEX,Menlo Park,€8M,Seed,Cross-border FX/fintech,StrictlyVC Feb 20,PayPal Ventures,Cross-border FX/fintech platform,4,Fintech lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Flinn.ai,Vienna,€20M,Unknown,Regulatory AI for medtech,StrictlyVC Feb 20,HV Capital,Regulatory AI for medical devices,5,European medtech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Fluidstack,NYC,$100M,Unknown,Cloud computing,StrictlyVC Feb 21,Google,$7.5B valuation (rumored) - Cloud computing,3,Enterprise cloud infrastructure lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Freeform,Hawthorne CA,€67M,Series B,3D printing/manufacturing AI,StrictlyVC Feb 20,Founders Fund,3D printing/manufacturing AI,6,Manufacturing/creative tech with strong funding,Sector ✓ Stage ✓,REACH_OUT
FYLD,London UK,€34M,Series B,AI infrastructure platform,FINSmes Feb 18,Unknown,AI infrastructure platform,4,Enterprise infrastructure lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Grotto AI,Berkeley,€10M,Seed,Real estate AI,StrictlyVC Feb 20,Iconiq,Real estate AI platform,4,Real estate lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Happyhotel,Germany,€7.7M,Series A,Hotel revenue AI,StrictlyVC Feb 20,Unknown,Hotel revenue management AI,6,Hotel/hospitality consumer-facing business in Europe,Sector ✓ Stage ✓ Location ✓,REACH_OUT
Helia Care,Scottsdale AZ,$3M,Unknown,Healthcare SaaS,FINSmes Feb 17,Unknown,Healthcare SaaS platform,4,Healthcare B2B lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Hook,NYC,€10M,Series A,Social music,StrictlyVC Feb 20,Khosla Ventures + Point72,Social music platform,7,Consumer/social platform with creative/music focus,Sector ✓ Stage ✓,REACH_OUT
Hybridity,Stockholm,€2M,Unknown,Regulatory compliance AI,EU-Startups Feb 19,Unknown,Regulatory compliance AI,4,B2B compliance lacks consumer/creative focus,Sector ✗ Stage ✗,MONITOR
inKind,Austin TX,$450M,Unknown,Restaurant commerce,FINSmes Feb 18,Unknown,Restaurant commerce platform,8,Consumer food/hospitality D2C platform with massive funding,Sector ✓ Stage ✓,REACH_OUT
InScope,NY,$14.5M,Series A,Financial reporting AI,StrictlyVC Feb 20,Norwest,Financial reporting AI,4,B2B enterprise finance lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Jump,Salt Lake City UT,$80M,Series B,AI for financial advisors,FINSmes Feb 20,Insight Partners,AI platform for financial advisors,4,B2B fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Kana,San Francisco CA,$15M,Seed,AI agents for media,FINSmes Feb 19,Unknown,AI agents for media,7,Creative media platform with consumer focus,Sector ✓ Stage ✓,REACH_OUT
Kombo,NYC,€25M,Series A,HR integration platform,StrictlyVC Feb 20,Volition Capital,HR integration platform,3,B2B HR software lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Korsana Biosciences,Waltham MA,$175M,Unknown,Biotech/neurodegenerative,FINSmes Feb 19,Wellington + TCGX,Biotech/neurodegenerative diseases,3,Biotech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
LanzaJet,Chicago IL,$47M,Unknown,Sustainable aviation fuel,FINSmes Feb 20,IAG + Shell,Sustainable aviation fuel,4,Energy company lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
mea Platform,Germany,€42.2M,Unknown,Insurance AI,EU-Startups Feb 19,Unknown,Insurance AI platform,4,B2B insurance lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Moab,NYC,€16M,Seed+A,Equipment rental OS,FINSmes Feb 18,Unknown,Equipment rental OS platform,6,B2B equipment platform lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Mondra,London UK,€11.8M,Series A,Supply chain intelligence AI,EU-Startups Feb 19,Unknown,Supply chain intelligence AI,4,B2B supply chain lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Monark,NYC,$8.1M,Unknown,Fintech/brokerage,FINSmes Feb 19,F-Prime,Fintech/brokerage platform,5,B2B fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
NANDO,Turin,€3.3M,Unknown,Waste optimization,EU-Startups Feb 19,Unknown,Waste optimization platform,4,Waste tech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Newity,Chicago,€11M,Unknown,SBA loans fintech,StrictlyVC Feb 20,CMT Digital,SBA loans fintech platform,4,B2B fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Odynn,NYC,$9.5M,Seed,Fintech/Travel loyalty,FINSmes Feb 20,Bonfire + Fiat Ventures,Fintech/Travel loyalty platform,7,Travel/loyalty consumer tech platform,Sector ✓ Stage ✓,REACH_OUT
Onodrim Industries,Amsterdam NL,€40M,Seed,European defense tech,FINSmes Feb 18,Unknown,European defense technology,3,Defense tech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Onshore,NYC,$31M,Series B,AI tax platform,FINSmes Feb 19,Unknown,AI tax platform,4,B2B tax platform lacks consumer focus,Sector ✗ Stage ✓,MONITOR
OOVIE Studios,Lugano,€164K,Unknown,AI film/entertainment,EU-Startups Feb 19,Unknown,AI film/entertainment studio,9,Creative entertainment platform in Europe matching all criteria,Sector ✓ Location ✓ Stage ✓,REACH_OUT
Ownwell,Austin TX,$50M,Series B,Property tax tech,FINSmes Feb 20,Alpha Edison + Mercato,Property tax technology,4,B2B property/fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Payra,Nashville TN,$15M,Unknown,B2B payments,FINSmes Feb 19,Edison Partners,B2B payments platform,3,B2B fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Plato,Berlin,€12.2M,Unknown,AI for wholesale distributors,EU-Startups Feb 19,Unknown,AI for wholesale distributors,4,B2B wholesale lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Portkey,San Francisco CA,€15M,Series A,AI gateway,StrictlyVC Feb 20,Elevation Capital,AI gateway/API platform,3,Enterprise infrastructure lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Qumis,Chicago IL,$4.3M,Seed,Insurance AI,FINSmes Feb 20,Unknown,Insurance AI platform,4,B2B insurance lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Rainfall Health,San Francisco CA,$15M,Series A,Healthcare AI,FINSmes Feb 19,Two Bear Capital,Healthcare AI platform,4,Healthcare B2B lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Rapidata,Zurich,€8.5M,Seed,AI human feedback,StrictlyVC Feb 20,Unknown,AI human feedback platform,5,Data/AI platform in Europe lacking consumer focus,Sector ✗ Stage ✓,MONITOR
Render,San Francisco CA,$100M,Series C,Cloud computing,FINSmes Feb 18,$1.5B valuation - Cloud computing platform,3,Enterprise cloud infrastructure lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Rizon,Delaware,$2M,Pre-Seed,Neobank,StrictlyVC Feb 20,Unknown,Neobank,5,Fintech neobank lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
SatVu,UK,£41M,Unknown,Satellite thermal intelligence,EU-Startups Feb 19,Unknown,Satellite thermal intelligence platform,4,Enterprise satellite tech lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Solid,Helsinki,€20M,Seed,Enterprise data/AI,StrictlyVC Feb 20,Team8 + SignalFire,Enterprise data/AI platform,4,Enterprise data platform lacks consumer focus,Sector ✗ Stage ✓,MONITOR
SportIQ,Berlin/Helsinki,€6.2M,Series A,Sports tech,StrictlyVC Feb 20,Unknown,Sports analytics tech,7,Sports consumer tech in Europe,Sector ✓ Stage ✓ Location ✓,REACH_OUT
Stacks,London UK,€23M,Series A,Enterprise finance AI,FINSmes Feb 19,Lightspeed,Enterprise finance AI,4,B2B enterprise finance lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Stoke Space,Kent WA,$860M,Series D,Rocket/space,FINSmes Feb 17,Unknown,Rocket/space technology,3,Space tech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
SurrealDB,London UK,€19M,Series A,AI-native database,FINSmes Feb 18,Unknown,AI-native database,4,Enterprise database lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Synchrony Medical,Jersey City,$5M,Unknown,Medical device,StrictlyVC Feb 20,Unknown,Medical device company,5,Medical device lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Taalas,Toronto,€169M,Unknown,Custom AI chips,StrictlyVC Feb 20,Quiet Capital + Fidelity,Custom AI chips,3,Enterprise semiconductor lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Temporal,San Francisco CA,$300M,Series D,Developer platform,FINSmes Feb 18,$5B valuation - Developer platform,3,Enterprise developer tools lack consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Toyo,London UK,€3.6M,Unknown,Secure AI agents,EU-Startups Feb 19,Unknown,Secure AI agents platform,5,AI platform in Europe but B2B enterprise focus,Sector ✗ Stage ✓,MONITOR
Tozaro,UK,€6.9M,Unknown,Unknown,EU-Startups Feb 19,Unknown,Unknown sector,3,Unknown sector cannot assess,Stage ✓ Location ✗,MONITOR
Utility Global,Houston TX,$100M,Series D,Industrial decarbonization,FINSmes Feb 18,Unknown,Industrial decarbonization,3,Industrial B2B lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Venice,NYC,$33M,Series A,Cybersecurity/access platform,FINSmes Feb 19,Unknown,Cybersecurity/access platform,4,Enterprise security lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Vestwell,NYC,$385M,Series E,Fintech/savings platform,FINSmes Feb 19,Unknown,Fintech/savings platform,5,Consumer fintech platform lacking creative/brand focus,Sector ✓ Stage ✓,MONITOR
Vizzia,Paris,€35.3M,Series B,Video surveillance AI,StrictlyVC Feb 20,Base10,Video surveillance AI platform,5,European company but B2B surveillance focus,Sector ✗ Stage ✓ Location ✓,MONITOR
VoiceMed,Rome,€1M,Unknown,Health AI,EU-Startups Feb 19,Unknown,Health AI platform,5,European health AI lacking consumer/creative focus,Sector ✗ Stage ✓,MONITOR
VulnCheck,Lexington MA,$25M,Series B,Cybersecurity,FINSmes Feb 18,Unknown,Cybersecurity vulnerability platform,3,Enterprise cybersecurity lacks consumer focus,Sector ✗ Stage ✓,MONITOR
wawa,Denmark,Unknown,Unknown,Fertility OS,Sunday CET,Unknown,Fertility/women's health OS,8,Consumer health tech/D2C in Europe,Sector ✓ Location ✓ Stage ✓,REACH_OUT
xAI,San Francisco CA,$3B,Series E,Frontier AI,FINSmes Feb 20,Unknown,Frontier AI company,3,Frontier AI lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
ZaiNar,Bay Area,€100M+,Unknown,Indoor positioning AI,StrictlyVC Feb 20,Unknown,$1B valuation - Indoor positioning AI,4,Infrastructure positioning tech lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Zero Homes,Denver CO,$16.8M,Series A,Home tech,FINSmes Feb 18,Unknown,Home technology platform,7,Consumer home tech with D2C potential,Sector ✓ Stage ✓,REACH_OUT
Agaton,Stockholm,€8.4M,Unknown,Revenue insights AI,EU-Startups Feb 19,Unknown,Revenue insights AI,4,B2B revenue analytics lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Aliro,Boston MA,$15M,Series A,Quantum computing,FINSmes Feb 19,Unknown,Quantum computing platform,3,Enterprise quantum lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Ascent,San Diego CA,$45M,Series C,Financial products/education,FINSmes Feb 20,Unknown,Financial products and education platform,5,B2B fintech/education lacks consumer/D2C focus,Sector ✗ Stage ✓,MONITOR
Avantos,NYC,$25M,Series A,AI-native OS,FINSmes Feb 19,Unknown,AI-native operating system,3,Enterprise OS lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Badge,San Francisco CA,$17.1M,Unknown,Wallet platform,FINSmes Feb 20,TTV Capital,Wallet/payment platform,6,Consumer fintech wallet platform,Sector ✓ Stage ✓,REACH_OUT
Braintrust,San Francisco CA,$80M,Series B,AI observability,FINSmes Feb 19,Unknown,AI observability/monitoring platform,3,Enterprise DevOps lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Certivo,Seattle WA,$4M,Seed,Supply chain compliance AI,FINSmes Feb 19,Unknown,Supply chain compliance AI,3,B2B supply chain lacks consumer focus,Sector ✗ Stage ✓,MONITOR
ChipAgents,Santa Clara CA,$50M,Series A1,Semiconductor AI,FINSmes Feb 18,Unknown,Semiconductor AI platform,3,Enterprise semiconductors lack consumer focus,Sector ✗ Stage ✓,MONITOR
Circuit,Austin TX,$30M,Unknown,Manufacturing AI,FINSmes Feb 18,Unknown,Manufacturing/industrial AI,3,B2B manufacturing lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Daffodil Health,San Francisco CA,$16.3M,Series A,Healthcare AI,FINSmes Feb 18,Unknown,Healthcare AI platform,4,Healthcare B2B lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Dataro,San Francisco CA,$14.28M,Series A,Fundraising intelligence AI,FINSmes Feb 18,Unknown,Fundraising intelligence AI,3,B2B fundraising lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Autosana,San Francisco CA,$3.2M,Unknown,QA/testing AI,FINSmes Feb 18,Unknown,QA/testing AI platform,3,Enterprise QA lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Seasats,San Diego CA,$20M,Series A,Defense/autonomous naval,FINSmes Feb 18,Unknown,Defense/autonomous naval systems,3,Defense tech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Selector,Santa Clara CA,$32M,Unknown,AI network intelligence,FINSmes Feb 19,Unknown,AI network intelligence,3,Enterprise networking lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Sift Biosciences,San Carlos CA,$3.7M,Pre-Seed,Biotech,FINSmes Feb 19,Unknown,Biotech startup,3,Biotech lacks consumer/creative focus,Sector ✗ Stage ✗,MONITOR
Sphinx,San Francisco CA,$7.1M,Seed,Fintech compliance AI,FINSmes Feb 18,Unknown,Fintech compliance AI,4,B2B fintech compliance lacks consumer/D2C focus,Sector ✗ Stage ✓,MONITOR
QuadSci,NYC,$8M,Series A,Customer intelligence AI,FINSmes Feb 18,Unknown,Customer intelligence AI platform,4,B2B customer intelligence lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Novig,Unknown,$75M,Series B,Sports/prediction market,FINSmes Feb 19,Pantera,Sports/prediction market platform,8,Consumer sports betting/prediction platform,Sector ✓ Stage ✓,REACH_OUT
NuCube Energy,Idaho Falls ID,$13M,Unknown,Nuclear energy,FINSmes Feb 20,Unknown,Nuclear energy company,3,Energy infrastructure lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Phoenix Tailings,Woburn MA,$40.2M,Series B-3,Rare earth metals,FINSmes Feb 20,Unknown,Rare earth metals recycling,3,Industrial materials lack consumer focus,Sector ✗ Stage ✓,MONITOR
PolyGone Systems,NJ,$4M,Seed,Environmental tech,FINSmes Feb 19,Unknown,Environmental technology,4,Environmental tech lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Adronite,Seattle WA,$5M,Series A,Codebase intelligence AI,FINSmes Feb 20,Unknown,Codebase intelligence AI,3,Enterprise developer tools lack consumer focus,Sector ✗ Stage ✓,MONITOR
Axmed,Basel/Nairobi,€5M,Unknown,Medical/Healthcare,EU-Startups Feb 19,Unknown,Medical device/healthcare technology (grant),4,Healthcare/medical lacks consumer/D2C focus,Sector ✗ Stage ✓,MONITOR
Resurrect Bio,London UK,$8.1M,Series A,Agtech/Biotech,FINSmes Feb 20,Unknown,Agricultural biotech,4,Agtech biotech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Databricks,San Francisco CA,$7B+,Series L,Data/AI,FINSmes Feb 17,Unknown,$7B+ Series L funding - Data/AI platform,3,Enterprise data infrastructure lacks consumer focus,Sector ✗ Stage ✓,MONITOR
HeyCharge,Germany,€2.5M,Unknown,EV charging,EU-Startups Feb 19,Unknown,EV charging infrastructure (grant),6,Consumer EV charging in Europe,Sector ✓ Location ✓ Stage ✓,REACH_OUT
3LC,Norway,Unknown,Unknown,AI training data,Sunday CET,Unknown,AI training data platform,3,Enterprise AI lacks consumer focus,Sector ✗ Stage ✗,MONITOR
K3RX,Italy,Unknown,Unknown,Space/aeronautical components,Sunday CET,Unknown,Space/aeronautical components,3,B2B aerospace lacks consumer focus,Sector ✗ Stage ✗,MONITOR
Iqana,Spain,Unknown,Unknown,Crypto marketplace,Sunday CET,Unknown,Crypto marketplace platform,6,Consumer crypto marketplace,Sector ✓ Location ✓ Stage ✗,MONITOR
Ineffable Intelligence,UK,$1B,Unknown,AI,Sunday CET,Unknown,$1B rumored valuation - AI company,3,Frontier AI lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
