Score,Company,Job_Title,Location,Work_Arrangement,Sector,Salary_USD,Job_Summary,URL,Score_Rationale,Times_Seen,First_Seen_Date,Last_Seen_Date,Status,Found_On,URL_Status,Applied_Date,Application_Method,Response_Status,Interview_Stage,Notes
87,CSC Generation,VP Finance & Strategy,Multiple US Locations,In-Office,Retail/Ecommerce,"N/A","Lead financial strategy through acquisitions, divestitures, and financing. Report to founding partner, drive FP&A, strategic planning, and M&A analysis. 10+ years executive finance required.",https://jobs.lever.co/cscgeneration-2/a1df2f8a-05ff-4566-a948-8e48d410ec1a,"VP-level seniority match (30); Strong finance/M&A deal skills aligned with IB background (25); Multiple locations but not target (10); retail/ecommerce sector (5); salary N/A (5); deal transformation expertise",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
85,CSC Generation,Vice President Finance,Chicago/Austin/Toronto,Remote-US,Retail/Ecommerce,"N/A","Drive performance management, KPIs, forward-looking financial analysis. Lead finance transformation initiatives. Report to founding partner.",https://jobs.lever.co/cscgeneration-2/d0ebd34e-0ddb-4b16-9418-d2f5aeec9ee5,"VP-level (30); Finance/FP&A expertise match (25); Remote with location hubs preferred (10); Retail/ecommerce (5); salary N/A (5)",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
83,charity: water,Chief Financial Officer,Remote-US,Remote-US,Nonprofit,"$260,000 - $280,000","Lead finance function during growth phase. $100M annual revenue. Oversee long-range planning, board communication, compliance, risk management. 20+ year-old org with strong mission.",https://jobs.lever.co/charitywater/452564c9-bd3b-4647-90d7-45e42a87611c,"CFO-level (30); Finance/strategy skills strong match (20); Remote-US (20); nonprofit sector (5); salary $260-280K strong match (10) but limited IB/capmark focus",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
82,Citi,Investor Relations VP Rating Agencies,New York,In-Office,Financial Services,"$157,040 - $235,560","Manage relationships with Moody's, S&P, Fitch. Develop quantitative analysis, facilitate rating agency discussions. Handle bond/credit rating communications.",https://citi.wd5.myworkdayjobs.com/2/job/New-York-New-York-United-States/Investor-Relations-Vice-President--Rating-Agencies-_25874429,"VP-level capital markets IR (30); Capital markets expertise strong but not pure investor relations (20); NYC in-office (20); financial services (10); salary within range (7)",1,2026-03-09,2026-03-09,NEW,Workday,Not Checked,,,,
80,CAIS,Director of Finance,New York,Hybrid,Alternative Investments,"$200,000 - $275,000","Lead all finance function (strategic finance, FP&A, accounting, corporate finance). Own 5-year financial model, capital raising M&A support, scale finance team. 12+ years required.",https://job-boards.greenhouse.io/cais/jobs/7985783002,"Director-level (30); Finance/FP&A aligned (25); NYC hybrid (20); alternative investments sector (10); salary $200-275K full match (10); strong leadership scope",1,2026-03-09,2026-03-09,NEW,Greenhouse,Not Checked,,,,
80,Noibu,VP Finance,Remote-US,Remote-US,Technology,"N/A","Report to CEO, lead financial planning, accounting operations, investment analysis, business insights for ecommerce error monitoring platform.",https://jobs.lever.co/NoibuTechnologies/a120fbe6-f79d-402a-999a-047301935007,"VP-level (30); Finance planning/operations skills aligned (25); Remote-US (20); technology sector (5); salary N/A (5); startup growth focus",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
79,Humana,VP Chief Financial Officer Home Solutions,Remote-US,Remote-US,Healthcare,"N/A","Executive CFO leadership for CenterWell Home Solutions. Report to CenterWell CFO. Manage financial operations, FP&A, capital allocation for home healthcare subsidiary.",https://humana.wd5.myworkdayjobs.com/humana_external_career_site/job/remote-nationwide/vp--chief-financial-officer-home-solutions_r-403417,"CFO equivalent (30); Healthcare finance operations (20); Remote-US (20); healthcare sector (10); salary N/A (5); Fortune 50 scale",1,2026-03-09,2026-03-09,NEW,Workday,Not Checked,,,,
78,Casdin Capital,Business Development Director,New York,In-Office,Life Sciences Investments,"N/A","Execute fundraising strategy, market products to investors. 5-10+ years hedge fund/private investment sales. Build relationships with family offices, endowments, foundations, pensions.",https://jobs.ashbyhq.com/casdin-capital/fb04999e-431d-4cda-bb26-d2f5d95386e0,"Director-level BD (30); Investment fundraising/capital markets expertise strong (25); NYC in-office (20); life sciences VC/PE (10); salary N/A (5); 5-10yr requirement fits",1,2026-03-09,2026-03-09,NEW,Ashby,Not Checked,,,,
77,Blue Apron,Director of Investor Relations,New York,In-Office,Consumer Tech,"N/A","Report to CFO. Implement IR strategy, direct external IR agency, equip Street with company understanding of strategy/performance. 7-10 years finance/consulting required.",https://boards.greenhouse.io/blueapron/jobs/3398841,"Director-level IR (30); Capital markets/IR expertise aligned (20); NYC in-office (20); consumer tech sector (5); salary N/A (5); public company IR",1,2026-03-09,2026-03-09,NEW,Greenhouse,Not Checked,,,,
76,Brookfield,Director Investor Relations Private Equity,New York,In-Office,Alternative Assets,"N/A","Manage investor relationships for Brookfield's private equity funds. Relationship management with institutional investors, reporting, communications.",https://brookfield.wd5.myworkdayjobs.com/brookfield/job/New-York-New-York/Director--Investor-Relations--Private-Equity--BSI-_R2042293-1,"Director-level IR (30); Capital markets/investor relationships (25); NYC in-office (20); alternative assets/PE (10); salary N/A (5); large institutional base",1,2026-03-09,2026-03-09,NEW,Workday,Not Checked,,,,
76,Match Group,Manager Corporate Development/IR,New York,In-Office,Technology,"N/A","Support M&A transactions, investments, strategic initiatives with Office of CFO. Identify, evaluate, execute M&A deals. Support IR function.",https://jobs.lever.co/matchgroup/6416a265-6106-434e-ab94-c9f189dc103e,"Manager-level strategy/IR (25); M&A corporate dev aligned (25); NYC in-office (20); technology sector (5); salary N/A (5); large cap with active M&A",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
75,Pantera Capital,Director Capital Formation,New York,In-Office,Cryptocurrency/Blockchain,"N/A","Raise capital for firm's funds. Manage investor relationships, investor communications, fundraising strategy execution.",https://jobs.lever.co/panteracapital/45fafefe-a2aa-41ff-8fdf-99cd4996c45d,"Director-level fundraising (30); Capital formation/investor relations (20); NYC in-office (20); blockchain/crypto sector (5); salary N/A (5); specialized asset class",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
74,BridgeBio,Associate/Senior Associate IR and Strategy,New York,In-Office,Biotech/Pharma,"N/A","Develop and execute investor relations strategy. Manage investor/analyst relationships. Build buy-side and sell-side relationships for biotech R&D company.",https://jobs.lever.co/bridgebio/33ef4baf-0c11-4d90-abcb-075449395238,"Associate/Senior level IR (20); Biotech IR strategy and relationships (25); NYC in-office (20); biotech/pharma (10); salary N/A (5); small to mid-cap biotech",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
74,Crunchbase,Director of Business Development,New York,Hybrid,B2B Tech Software,"N/A","Build relationships with key partners, drive revenue growth through new business opportunities. Enterprise tech go-to-market.",https://jobs.lever.co/crunchbase/d06d0d0d-16a2-433f-b806-afd034e6f6ea,"Director-level BD (30); Business partnerships/revenue growth (20); NYC hybrid (20); B2B tech (5); salary N/A (5); mid-market SaaS",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
73,The Trade Desk,Director Business Development,New York,Hybrid,AdTech,"N/A","Identify and create new business opportunities. Build and manage key partner relationships. Drive revenue growth.",https://thetradedesk.wd5.myworkdayjobs.com/en-US/TTDExternalSite/job/New-York/Director--Business-Development_REQ-6129,"Director-level BD (30); Business development partnerships (20); NYC hybrid (20); adtech sector (5); salary N/A (5); public company scale",1,2026-03-09,2026-03-09,NEW,Workday,Not Checked,,,,
73,Aurora Solar,Senior Business Development Manager,Washington DC,In-Office,Climate Tech,"$110,000 - $149,000","Lead new go-to-market initiatives. Build sales pipelines, establish new revenue streams.",https://jobs.lever.co/aurorasolar/a8e6f979-e5c1-4fa1-b3dc-96b12bfbf065,"Senior manager BD (22); Business development/growth strategy (20); DC location (15); climate tech/energy (10); salary $110-149K below target (4)",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
72,Wisp,VP Finance,Remote-US,Remote-US,Healthcare Tech,"N/A","Join and build Finance team. Report to CEO as right-hand partner. Establish financial rigor and organizational design in core company decisions.",https://jobs.lever.co/hellowisp/ec3c38ee-b09d-412d-950e-bebb14427216,"VP-level (30); Finance team building/operations (20); Remote-US (20); healthcare tech sector (5); salary N/A (5); startup stage",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
72,Mastercard,Director Business Development Digital Partnerships,New York,In-Office,Fintech,"N/A","Build relationships to increase Mastercard share in solutions space. Strategic partnerships, digital ecosystem development.",https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Purchase-New-York/Director--Advisors-Business-Development---Digital-Partnerships_R-210348,"Director-level BD (30); Strategic partnerships/relationships (20); NYC area (20); fintech/payments (5); salary N/A (5); Fortune 500 company",1,2026-03-09,2026-03-09,NEW,Workday,Not Checked,,,,
72,Capital One,Senior Associate Business Development,New York,In-Office,Financial Services,"N/A","Build external relationships to expand premium customer value proposition. Business development for premium benefits and experiences.",https://capitalone.wd12.myworkdayjobs.com/Capital_One/job/New-York-NY/Senior-Associate--Business-Development---Premium-Benefits---Experiences_R195650-1,"Senior associate BD (18); Business development partnerships (20); NYC in-office (20); financial services (10); salary N/A (5); large financial services",1,2026-03-09,2026-03-09,NEW,Workday,Not Checked,,,,
71,Ares Management,Principal IR and Product Management Digital Infrastructure,New York,In-Office,Alternative Assets,"N/A","Manage investor relationships and product strategy for digital infrastructure fund. Work with senior leadership on fund communications and investor engagement.",https://aresmgmt.wd1.myworkdayjobs.com/External/job/New-York-NY/Principal--Investor-Relations-and-Product-Management--Digital-Infrastructure_R6981,"Principal-level IR (28); Alternative assets IR/product (20); NYC in-office (20); digital infrastructure/alternative assets (10); salary N/A (5)",1,2026-03-09,2026-03-09,NEW,Workday,Not Checked,,,,
71,Development Seed,Sales and Business Strategy Lead,Washington DC,In-Office,Climate/Development Tech,"N/A","Translate technical capabilities into market offerings. Execute go-to-market strategy. Build market fit and value propositions.",https://jobs.lever.co/developmentseed/b3b607ed-2ec7-4cd0-a091-a612ccbdf521,"Manager-level strategy (20); Business development/GTM (20); DC in-office (15); climate/development tech (10); salary N/A (5)",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
70,Wisp,VP Finance,"San Francisco/Remote",Remote-US,Healthcare Tech,"N/A","Build Finance function from ground up. Report to CEO. Lead all financial strategy, operations, and capital allocation for telehealth platform.",https://jobs.lever.co/hellowisp/ec3c38ee-b09d-412d-950e-bebb14427216/apply,"VP-level (30); Finance strategy and operations (20); Remote-US (20); healthcare tech (5); salary N/A (5)",1,2026-03-09,2026-03-09,NEW,Lever,Not Checked,,,,
