Company,City_Country,Amount_USD,Round,Sector,Source,Lead_Investors,Description
3LC,Norway,Unknown,Unknown,AI training data,Sunday CET,Unknown,AI training data platform
Adronite,Seattle WA,$5M,Series A,Codebase intelligence AI,FINSmes Feb 20,Unknown,Codebase intelligence AI
Agaton,Stockholm,€8.4M,Unknown,Revenue insights AI,EU-Startups Feb 19,Unknown,Revenue insights AI
Aizy,Netherlands,€2M,Unknown,AI marketing,EU-Startups Feb 19,Unknown,AI marketing platform
Aliro,Boston MA,$15M,Series A,Quantum computing,FINSmes Feb 19,Unknown,Quantum computing platform
Altesa BioSciences,Atlanta GA,$75M,Series B,Pharma,FINSmes Feb 20,Forbion,Pharmaceutical company
Apptronik,Austin TX,$520M,Series A-X,AI robotics,FINSmes Feb 17,Unknown,AI-powered robotics platform
ARCYN Defense,Washington DC,Unknown,Seed,Defense tech,FINSmes Feb 19,Unknown,Defense technology startup
Ascent,San Diego CA,$45M,Series C,Financial products/education,FINSmes Feb 20,Unknown,Financial products and education platform
Avantos,NYC,$25M,Series A,AI-native OS,FINSmes Feb 19,Unknown,AI-native operating system
Axmed,Basel/Nairobi,€5M,Unknown,Medical/Healthcare,EU-Startups Feb 19,Unknown,Medical device/healthcare technology (grant)
Badge,San Francisco CA,$17.1M,Unknown,Wallet platform,FINSmes Feb 20,TTV Capital,Wallet/payment platform
Breaker,Austin TX/Sydney,$6M,Seed,Defense tech,FINSmes Feb 19,Unknown,Defense technology startup
Braintrust,San Francisco CA,$80M,Series B,AI observability,FINSmes Feb 19,Unknown,AI observability/monitoring platform
Certivo,Seattle WA,$4M,Seed,Supply chain compliance AI,FINSmes Feb 18,Unknown,Supply chain compliance AI
ChipAgents,Santa Clara CA,$50M,Series A1,Semiconductor AI,FINSmes Feb 18,Unknown,Semiconductor AI platform
Circuit,Austin TX,$30M,Unknown,Manufacturing AI,FINSmes Feb 18,Unknown,Manufacturing/industrial AI
Code Metal,Boston MA,$125M,Series B,Code translation AI,StrictlyVC Feb 21,Salesforce Ventures + Accel,$1.25B valuation - AI code translation
Codoxo,Duluth GA,$35M,Series C,Healthcare AI,FINSmes Feb 18,Unknown,Healthcare AI platform
Cogent Security,San Francisco CA,$42M,Series A,AI cybersecurity,FINSmes Feb 19,Unknown,AI-powered cybersecurity
Copla,Vilnius,€6M,Series A,Fintech compliance,StrictlyVC Feb 20,Unknown,Fintech compliance platform
CubaseBio,Sweden,Unknown,Unknown,Spatial biology,Sunday CET,Unknown,Spatial biology platform
Daffodil Health,San Francisco CA,$16.3M,Series A,Healthcare AI,FINSmes Feb 18,Unknown,Healthcare AI platform
Dataro,San Francisco CA,$14.28M,Series A,Fundraising intelligence AI,FINSmes Feb 18,Unknown,Fundraising intelligence AI
DG Matrix,Morrisville NC,$60M,Series A,Energy/solid-state transformers,FINSmes Feb 19,Unknown,Energy/solid-state transformer technology
Eagle Wireless,Cleveland OH,$30M,Series B,IoT/Cellular modules,FINSmes Feb 20,Unknown,IoT/cellular module manufacturer
Efficient Computer,Pittsburgh PA,$60M,Series A,Energy-efficient processors,FINSmes Feb 19,Unknown,Energy-efficient processor manufacturer
EFEX,Menlo Park,€8M,Seed,Cross-border FX/fintech,StrictlyVC Feb 20,PayPal Ventures,Cross-border FX/fintech platform
FYLD,London UK,€34M,Series B,AI infrastructure platform,FINSmes Feb 18,Unknown,AI infrastructure platform
Flinn.ai,Vienna,€20M,Unknown,Regulatory AI for medtech,StrictlyVC Feb 20,HV Capital,Regulatory AI for medical devices
Fluidstack,NYC,$100M,Unknown,Cloud computing,StrictlyVC Feb 21,Google,$7.5B valuation (rumored) - Cloud computing
Freeform,Hawthorne CA,€67M,Series B,3D printing/manufacturing AI,StrictlyVC Feb 20,Founders Fund,3D printing/manufacturing AI
Grotto AI,Berkeley,€10M,Seed,Real estate AI,StrictlyVC Feb 20,Iconiq,Real estate AI platform
Happyhotel,Germany,€7.7M,Series A,Hotel revenue AI,StrictlyVC Feb 20,Unknown,Hotel revenue management AI
Helia Care,Scottsdale AZ,$3M,Unknown,Healthcare SaaS,FINSmes Feb 17,Unknown,Healthcare SaaS platform
Heron Power,Scotts Valley CA,$140M,Series B,Energy infrastructure,FINSmes Feb 19,Unknown,Energy infrastructure platform
HeyCharge,Germany,€2.5M,Unknown,EV charging,EU-Startups Feb 19,Unknown,EV charging infrastructure (grant)
Hook,NYC,€10M,Series A,Social music,StrictlyVC Feb 20,Khosla Ventures + Point72,Social music platform
Hybridity,Stockholm,€2M,Unknown,Regulatory compliance AI,EU-Startups Feb 19,Unknown,Regulatory compliance AI
Iqana,Spain,Unknown,Unknown,Crypto marketplace,Sunday CET,Unknown,Crypto marketplace platform
Ineffable Intelligence,UK,$1B,Unknown,AI,Sunday CET,Unknown,$1B rumored valuation - AI company
inKind,Austin TX,$450M,Unknown,Restaurant commerce,FINSmes Feb 18,Unknown,Restaurant commerce platform
Ineffable Intelligence,UK,$1B,Unknown,Frontier AI,Sunday CET,Unknown,Frontier AI company
InScope,NY,$14.5M,Series A,Financial reporting AI,StrictlyVC Feb 20,Norwest,Financial reporting AI
Jump,Salt Lake City UT,$80M,Series B,AI for financial advisors,FINSmes Feb 20,Insight Partners,AI platform for financial advisors
K3RX,Italy,Unknown,Unknown,Space/aeronautical components,Sunday CET,Unknown,Space/aeronautical components
Kana,San Francisco CA,$15M,Seed,AI agents for media,FINSmes Feb 19,Unknown,AI agents for media
Kombo,NYC,€25M,Series A,HR integration platform,StrictlyVC Feb 20,Volition Capital,HR integration platform
Korsana Biosciences,Waltham MA,$175M,Unknown,Biotech/neurodegenerative,FINSmes Feb 19,Wellington + TCGX,Biotech/neurodegenerative diseases
LanzaJet,Chicago IL,$47M,Unknown,Sustainable aviation fuel,FINSmes Feb 20,IAG + Shell,Sustainable aviation fuel
mea Platform,Germany,€42.2M,Unknown,Insurance AI,EU-Startups Feb 19,Unknown,Insurance AI platform
Moab,NYC,€16M,Seed+A,Equipment rental OS,FINSmes Feb 18,Unknown,Equipment rental OS platform
Mondra,London UK,€11.8M,Series A,Supply chain intelligence AI,EU-Startups Feb 19,Unknown,Supply chain intelligence AI
Monark,NYC,$8.1M,Unknown,Fintech/brokerage,FINSmes Feb 19,F-Prime,Fintech/brokerage platform
Newity,Chicago,€11M,Unknown,SBA loans fintech,StrictlyVC Feb 20,CMT Digital,SBA loans fintech platform
Novig,Unknown,$75M,Series B,Sports/prediction market,FINSmes Feb 19,Pantera,Sports/prediction market platform
NuCube Energy,Idaho Falls ID,$13M,Unknown,Nuclear energy,FINSmes Feb 20,Unknown,Nuclear energy company
NANDO,Turin,€3.3M,Unknown,Waste optimization,EU-Startups Feb 19,Unknown,Waste optimization platform
Odynn,NYC,$9.5M,Seed,Fintech/Travel loyalty,FINSmes Feb 20,Bonfire + Fiat Ventures,Fintech/Travel loyalty platform
Onodrim Industries,Amsterdam NL,€40M,Seed,European defense tech,FINSmes Feb 18,Unknown,European defense technology
Onshore,NYC,$31M,Series B,AI tax platform,FINSmes Feb 19,Unknown,AI tax platform
OOVIE Studios,Lugano,€164K,Unknown,AI film/entertainment,EU-Startups Feb 19,Unknown,AI film/entertainment studio
Ownwell,Austin TX,$50M,Series B,Property tax tech,FINSmes Feb 20,Alpha Edison + Mercato,Property tax technology
Payra,Nashville TN,$15M,Unknown,B2B payments,FINSmes Feb 19,Edison Partners,B2B payments platform
Phoenix Tailings,Woburn MA,$40.2M,Series B-3,Rare earth metals,FINSmes Feb 20,Unknown,Rare earth metals recycling
Plato,Berlin,€12.2M,Unknown,AI for wholesale distributors,EU-Startups Feb 19,Unknown,AI for wholesale distributors
Portkey,San Francisco CA,€15M,Series A,AI gateway,StrictlyVC Feb 20,Elevation Capital,AI gateway/API platform
Qumis,Chicago IL,$4.3M,Seed,Insurance AI,FINSmes Feb 20,Unknown,Insurance AI platform
QuadSci,NYC,$8M,Series A,Customer intelligence AI,FINSmes Feb 18,Unknown,Customer intelligence AI platform
Rainfall Health,San Francisco CA,$15M,Series A,Healthcare AI,FINSmes Feb 19,Two Bear Capital,Healthcare AI platform
Rapidata,Zurich,€8.5M,Seed,AI human feedback,StrictlyVC Feb 20,Unknown,AI human feedback platform
Render,San Francisco CA,$100M,Series C,Cloud computing,FINSmes Feb 18,$1.5B valuation - Cloud computing platform
Resurrect Bio,London UK,$8.1M,Series A,Agtech/Biotech,FINSmes Feb 20,Unknown,Agricultural biotech
Rizon,Delaware,$2M,Pre-Seed,Neobank,StrictlyVC Feb 20,Unknown,Neobank
Selector,Santa Clara CA,$32M,Unknown,AI network intelligence,FINSmes Feb 19,Unknown,AI network intelligence
Sift Biosciences,San Carlos CA,$3.7M,Pre-Seed,Biotech,FINSmes Feb 19,Unknown,Biotech startup
Skydrone,France,Unknown,Unknown,Defense/energy drones,Sunday CET,Unknown,Defense/energy drones
Solid,Helsinki,€20M,Seed,Enterprise data/AI,StrictlyVC Feb 20,Team8 + SignalFire,Enterprise data/AI platform
Sphinx,San Francisco CA,$7.1M,Seed,Fintech compliance AI,FINSmes Feb 18,Unknown,Fintech compliance AI
SportIQ,Berlin/Helsinki,€6.2M,Series A,Sports tech,StrictlyVC Feb 20,Unknown,Sports analytics tech
Stacks,London UK,€23M,Series A,Enterprise finance AI,FINSmes Feb 19,Lightspeed,Enterprise finance AI
Stoke Space,Kent WA,$860M,Series D,Rocket/space,FINSmes Feb 17,Unknown,Rocket/space technology
SurrealDB,London UK,€19M,Series A,AI-native database,FINSmes Feb 18,Unknown,AI-native database
Synchrony Medical,Jersey City,$5M,Unknown,Medical device,StrictlyVC Feb 20,Unknown,Medical device company
Taalas,Toronto,€169M,Unknown,Custom AI chips,StrictlyVC Feb 20,Quiet Capital + Fidelity,Custom AI chips
Temporal,San Francisco CA,$300M,Series D,Developer platform,FINSmes Feb 18,$5B valuation - Developer platform
Toyo,London UK,€3.6M,Unknown,Secure AI agents,EU-Startups Feb 19,Unknown,Secure AI agents platform
Tozaro,UK,€6.9M,Unknown,Unknown,EU-Startups Feb 19,Unknown,Unknown sector
Utility Global,Houston TX,$100M,Series D,Industrial decarbonization,FINSmes Feb 18,Unknown,Industrial decarbonization
Venice,NYC,$33M,Series A,Cybersecurity/access platform,FINSmes Feb 19,Unknown,Cybersecurity/access platform
Vestwell,NYC,$385M,Series E,Fintech/savings platform,FINSmes Feb 19,Unknown,Fintech/savings platform
VoiceMed,Rome,€1M,Unknown,Health AI,EU-Startups Feb 19,Unknown,Health AI platform
VulnCheck,Lexington MA,$25M,Series B,Cybersecurity,FINSmes Feb 18,Unknown,Cybersecurity vulnerability platform
wawa,Denmark,Unknown,Unknown,Fertility OS,Sunday CET,Unknown,Fertility/women's health OS
xAI,San Francisco CA,$3B,Series E,Frontier AI,FINSmes Feb 20,Unknown,Frontier AI company
ZaiNar,Bay Area,€100M+,Unknown,Indoor positioning AI,StrictlyVC Feb 20,Unknown,$1B valuation - Indoor positioning AI
Zero Homes,Denver CO,$16.8M,Series A,Home tech,FINSmes Feb 18,Unknown,Home technology platform
Autosana,San Francisco CA,$3.2M,Unknown,QA/testing AI,FINSmes Feb 18,Unknown,QA/testing AI platform
Seasats,San Diego CA,$20M,Series A,Defense/autonomous naval,FINSmes Feb 18,Unknown,Defense/autonomous naval systems
SatVu,UK,£41M,Unknown,Satellite thermal intelligence,EU-Startups Feb 19,Unknown,Satellite thermal intelligence platform
Databricks,San Francisco CA,$7B+,Series L,Data/AI,FINSmes Feb 17,Unknown,$7B+ Series L funding - Data/AI platform
PolyGone Systems,NJ,$4M,Seed,Environmental tech,FINSmes Feb 19,Unknown,Environmental technology
Vizzia,Paris,€35.3M,Series B,Video surveillance AI,StrictlyVC Feb 20,Base10,Video surveillance AI platform
