Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On,First_Seen_Date,Last_Seen_Date,Times_Seen,Search_Sources,Interest,Interest_Notes,Applied_Date,Response,Response_Date
REPEAT,95,Partnerships role aligns with Anzu BD/JPM ecosystem dev; Strong fintech/payments sector fit,VGS,Sr. Manager of Strategic Partnerships,Fintech/Payments,Remote,N/A,Remote-US,N/A,Owns portfolio of high-impact partnerships driving cross-functional initiatives at payment tokenization leader.,https://jobs.lever.co/verygoodsecurity/2ae7986d-7b83-43b7-93b6-d1999b484812,Open,Lever,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,95,Direct CoS match; AI sector aligns with AI automation skills (+5 bonus),Cambio AI,Chief of Staff,AI/Tech,Remote,N/A,Remote-US,N/A,"Strategic partner to executive team, leading cross-functional initiatives at AI company.",https://jobs.ashbyhq.com/cambio/c84db9fb-1c21-4d33-84b3-19654c7b7110,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,94,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background),Coinbase,Chief of Staff to the COO,Crypto/Fintech,Remote - US,N/A,Remote,N/A,"Force multiplier for COO, ensuring priorities are advanced and time focused on highest-impact areas at leading crypto exchange. Some in-person participation required.",https://boards.greenhouse.io/coinbase/jobs/7298274,Blocked,Greenhouse,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,94,Direct CoS match; Industrial tech sector aligns with defense/industrial experience (+5 bonus),Samsara,"Chief of Staff, Head of Business Operations",IoT/Industrial Tech,Remote - US,N/A,Remote-US,N/A,Chief of Staff and Head of Business Operations at IoT platform for physical operations. Supports executive team.,https://boards.greenhouse.io/samsara/jobs/7543674,Open,Greenhouse,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,93,Partnerships role aligns with Anzu BD/JPM ecosystem dev; Fintech sector strong fit (+5 bonus),Sardine,Cloud Partnerships Manager,Fintech/Fraud Prevention,Remote,N/A,Remote-US,N/A,Cloud Partnerships Manager at fraud prevention and AML compliance leader. 300+ banks and fintechs use Sardine.,https://jobs.ashbyhq.com/sardine/a8585d40-deed-44e3-a6a2-bc247a2fa1d5,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,93,Partnerships role aligns; Fintech sector strong fit (+5 bonus),Sardine,Product Partnerships Manager,Fintech/Fraud Prevention,Remote,N/A,Remote-US,N/A,Product Partnerships Manager at fraud prevention/AML compliance leader. Remote-first work culture.,https://jobs.ashbyhq.com/sardine/aa71755c-ebe5-40ce-b2ca-11f94816be52,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,93,Partnerships role aligns; Strong fintech sector fit (+5 bonus); YC/top-tier VC backing,Middesk,Strategic Partnerships Manager,Fintech/Identity,Remote,N/A,Remote-US,N/A,"Owns and grows critical partnerships including referral and reseller relationships at YC-backed, Sequoia/Accel-backed identity verification company.",https://jobs.ashbyhq.com/middesk/e0784d39-9d29-4b85-91ad-26cf3c406565,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,93,Partnerships role aligns; Banking infrastructure directly matches JPM/SVB experience (+5 bonus),Column,Strategic Partnerships Lead,Fintech/Banking Infrastructure,Remote,N/A,Remote-US,N/A,"Strategic Partnerships Lead at Column, a bank and software company offering technology-forward banking solutions.",https://jobs.ashbyhq.com/column/83c71171-e327-45e2-8b58-cfe5ee16209a,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,92,Partnerships leadership aligns with Anzu BD; AI sector aligns (+5 bonus); Building from ground up matches startup experience,Neuroscale AI,Director of Strategic Partnerships & Alliances,AI/Tech,Remote,N/A,Remote-US,N/A,Building partner-led revenue engine from ground up at AI company scaling go-to-market efforts.,https://jobs.ashbyhq.com/neuroscale/66d227bf-c29c-48b3-8085-3c55b32a6646,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,92,Strategy/ops leadership aligns with Anzu/JPM/DoD; AI sector aligns (+5 bonus),Sentient,Director of Operations/Strategy,AI/Tech,Remote,N/A,Remote-US,N/A,"Strategic and operational leader supporting cofounder. Company-wide planning, cross-functional coordination, executive-level initiatives.",https://jobs.ashbyhq.com/sentient/26ee8da3-2022-41ba-9230-86e98be52124,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,92,"Direct CoS match; Frontier AI/ML company with $107M funding from NVIDIA, NEA (+5 AI bonus); Cross-functional leadership across Product, Engineering, Sales aligns with Anzu/JPM experience",Twelve Labs,Chief of Staff,AI/Tech,"San Francisco, CA",N/A,In-Office,"$152,000 - $194,000","Chief of Staff at Twelve Labs, a multimodal AI company. Supports CEO with strategic planning, investor relations, partnerships, and high-priority business initiatives.",https://jobs.ashbyhq.com/twelve-labs/e03b4858-af75-4842-8391-e97993c78d91,Open,Ashby,2026-02-02,2026-02-23,2,"2026-02-02, 2026-02-23",,,,,
NEW,91,Partnerships role aligns with Anzu capital formation/BD and JPM ecosystem dev; Strong fintech/finance sector fit (JPM/SVB background); Senior-level matches SVP/VP experience; Spanish requirement aligns with beginner Spanish skills,Jeeves,Head of Global Partnerships,Fintech,Remote - Americas,Spanish,Remote,N/A,"Head of Global Partnerships architecting, leading, and scaling partner ecosystem across North America, LATAM (BR, MX, CO), and EMEA. Requires English/Portuguese fluency, Spanish strongly preferred.",https://jobs.lever.co/tryjeeves/f0faf387-8d07-4784-ba28-acae4a16d70a,Open,Lever,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,91,Capital formation and investor networks directly match Anzu principal role; AI sector alignment (+5 bonus); Building from ground up matches venture building experience,Sentient,Director of Strategic Partnerships for Capital Markets,AI/Finance,Remote,N/A,Remote-US,N/A,"Building investor networks, conducting market research, organizing events, and supporting ecosystem growth through fundraising and liquidity strategies at AI company.",https://jobs.ashbyhq.com/sentient/f094ae46-87ba-4833-a003-733c05863220,Open,Ashby,2026-02-23,2026-02-23,1,2026-02-23,,,,,
NEW,90,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Replo,Chief of Staff,E-commerce/SaaS,Remote,N/A,Remote,N/A,"Chief of Staff helping Replo scale smarter and faster. Works directly with CEO on high-priority initiatives across GTM, operations, recruiting, product.",https://jobs.ashbyhq.com/replo/ca07277c-c7ad-4eed-85b9-2da6343e7749,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,90,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Better Health,Chief of Staff,Health Tech,Remote - US,N/A,Remote,N/A,Chief of Staff at fast-scaling health tech company. Reports to CEO. Contract to hire with potential for full-time.,https://jobs.ashbyhq.com/joinbetter/499d589c-ef47-4c89-a6ac-43be5903cf7e,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,90,Direct CoS match; AI developer tools sector (+5 AI bonus); Business Operations Lead path aligns with operator background; Early-stage high-impact role,Promptfoo,Chief of Staff / Business Operations Lead,AI/Developer Tools,Remote,N/A,Remote-US,N/A,Chief of Staff and Business Operations Lead at AI evaluation and testing platform. Working directly with leadership to scale operations.,https://jobs.ashbyhq.com/promptfoo/a092c899-7a22-44b5-ad4a-0c2309b1b328,Open,Ashby,2026-02-23,2026-02-23,1,2026-02-23,,,,,
NEW,88,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,SpryPoint,Chief of Staff,Utility SaaS,Remote,N/A,Remote,N/A,First Chief of Staff serving as strategic operator and integrator to SVP Client Solutions. High-trust partnership role. Backed by Norwest and Insight Partners (2026 investment).,https://jobs.lever.co/sprypointservices/283ec14a-5b32-4e89-8282-deb4a8f687e7,Open,Lever,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,88,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Fern,Chief of Staff to the CEO,Developer Tools,Remote,N/A,Remote,N/A,"Generalist role spanning product, ops, marketing, and strategy. Ideal for top-tier talent with long-term founder aspirations.",https://jobs.ashbyhq.com/fern/d423aba5-28de-4d11-8d99-2699e6e97e83,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,88,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills and venture portfolio work,Pylon,Chief of Staff,B2B SaaS,Remote,N/A,Remote,N/A,"Owns strategic initiatives, unblocks day-to-day operations, helps business scale faster and more intelligently.",https://jobs.ashbyhq.com/pylon/c17a034d-62c1-4f42-b1fa-d5b4841f07bb,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,88,Strategy/ops aligns with DoD/Nationwide experience; AI sector aligns (+5 bonus),Dust,Strategic Operations,AI/Developer Tools,Remote,N/A,Remote-Global,N/A,"Operations across all teams to drive, build, and enable growth. Leading cross-functional efforts and executing strategic initiatives.",https://jobs.ashbyhq.com/dust/546a99df-1a1a-47b0-a1d5-6d3c6858addf,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,88,Direct CoS match; LegalTech/SaaS at $3.2B valuation; CEO Communications component aligns with executive support experience; Strong salary $192K-$240K,Ironclad,Chief of Staff & CEO Communications,LegalTech/SaaS,San Francisco CA,N/A,Hybrid,$192000-$240000,Partners with CEO to shape company narrative and drive strategic priorities. Hybrid role combining exec communications with operational leadership at $3.2B contract management platform.,https://jobs.ashbyhq.com/ironcladhq/fc9f71e8-3e1f-41d0-b33d-573cf8cafe6b,Open,Ashby,2026-02-23,2026-02-23,1,2026-02-23,,,,,
NEW,87,Partnerships role aligns with Anzu capital formation/BD and JPM ecosystem dev; AI/tech sector aligns with AI automation skills and venture portfolio work; Senior-level matches SVP/VP experience,Datadog,"Director, Technical Product Partnerships",Cloud/SaaS,Remote,N/A,Remote,N/A,Defining and leading strategy for building and scaling product-led partnerships with ISVs. High-visibility role with direct impact on growth strategy. Requires 10+ years experience.,https://boards.greenhouse.io/datadog/jobs/7416668,Open,Greenhouse,2026-02-09,2026-02-16,3,"2026-02-09,2026-02-16,2026-02-23",,,,,
NEW,87,Partnerships role aligns with Anzu capital formation/BD and JPM ecosystem dev; AI/tech sector aligns with AI automation skills and venture portfolio work; Senior-level matches SVP/VP experience,Nextech,Director of Strategic Partnerships,Health Tech/SaaS,Remote - US,N/A,Remote,N/A,"Director driving growth across healthcare SaaS business by identifying, building, and scaling strategic partnerships.",https://jobs.lever.co/nextech/fa8fd826-0554-4775-855f-a312c85f28b0,Open,Lever,2026-02-09,2026-02-09,1,2026-02-09,,,,,
NEW,87,Partnerships role aligns with Anzu capital formation/BD and JPM ecosystem dev; AI/tech sector aligns with AI automation skills and venture portfolio work; Senior-level matches SVP/VP experience,OpenX,Strategic Partnerships Director,AdTech,Remote,N/A,Remote,N/A,"Director managing all strategic relationships across OpenX Ad Exchange, ensuring customer success and satisfaction.",https://jobs.lever.co/openx/5f37505b-1cde-403c-96a6-410ef2f514d9,Open,Lever,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,87,Partnerships leadership aligns with Anzu BD and JPM ecosystem dev; Director level matches SVP/VP experience; SaaS/security sector has growth tailwinds,Vanta,"Director, Strategic Partnerships (VARs)",Security/SaaS,Remote - US,N/A,Remote-US,N/A,"Leading go-to-market strategy across VAR partner segment, building and scaling business with major resellers in security and compliance ecosystem. Director-level leadership role.",https://jobs.ashbyhq.com/vanta/5f83094a-20e4-4e80-aa1d-375470b22bc6,Open,Ashby,2026-02-16,2026-02-16,2,"2026-02-16,2026-02-23",,,,,
NEW,87,Direct CoS match (exec support at Anzu/JPM); Clean energy/industrial sector aligns with defense/industrial experience; In-office NYC limits location flexibility,David Energy,Chief of Staff,Clean Energy/Industrial Tech,"New York, NY",N/A,In-Office,N/A,Working directly with CEO to develop and operationalize company strategy as they scale. Clean energy technology company in NYC.,https://jobs.ashbyhq.com/davidenergy/d7383577-462c-44db-9d8e-c88f412be927,Open,Ashby,2026-02-16,2026-02-23,2,"2026-02-16, 2026-02-23",,,,,
NEW,85,Strategy/ops leadership aligns with Anzu/JPM/DoD program management; AI/tech sector aligns with AI automation skills and venture portfolio work; Senior-level matches SVP/VP experience,Centivo,Strategy & Operations Director,Health Tech/Insurance,Remote,N/A,Remote,N/A,Reports to VP Strategic Initiatives. Key role in structuring and executing enterprise-wide strategic initiatives and operational excellence at affordable healthcare company.,https://jobs.ashbyhq.com/centivo/7b177549-a892-4b71-a55b-e6be99558506,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,85,Direct CoS match; Nonprofit/social justice sector is tangential but CEO partnership role directly aligns; Cross-functional collaboration matches operator experience,Tides Network,Chief of Staff,Nonprofit/Social Justice,Remote,N/A,Remote-US,N/A,Chief of Staff working closely with CEO facilitating collaboration among Executive Team at nonprofit committed to advancing social justice.,https://jobs.ashbyhq.com/tides/91babe96-df64-4bd6-a1c6-aeaba11ea2c5,Open,Ashby,2026-02-23,2026-02-23,1,2026-02-23,,,,,
NEW,84,Partnerships role aligns with Anzu capital formation/BD and JPM ecosystem dev; AI/tech sector aligns with AI automation skills and venture portfolio work,Statsig,Strategic Partnerships Lead,Developer Tools/Analytics,Remote,N/A,Remote,N/A,"Partner Leader building and scaling partner ecosystem spanning Alliances, ISVs, SIs, Channel/Reseller, and MSPs, driving revenue growth.",https://jobs.ashbyhq.com/statsig/1055711e-304e-4f92-94b7-a39351f9b6ec,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,83,Direct CoS match; Strong fintech sector fit; Remote-first culture; Canada-based may require Canadian work authorization,KOHO,Chief of Staff,Fintech,Remote (Canada),N/A,Remote-Americas,N/A,"Chief of Staff at Canadian fintech making financial services better. Remote-first with asynchronous collaboration, flexible hours, high trust culture.",https://jobs.ashbyhq.com/koho/f33f16e6-62fd-4018-91bd-da3aa87a9e67,Open,Ashby,2026-02-02,2026-02-23,3,"2026-02-02, 2026-02-16, 2026-02-23",,,,,
NEW,82,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills; Remote-friendly,Deepgram,Chief of Staff,AI/Speech Tech,Remote - US,N/A,Remote,N/A,"Chief of Staff at Deepgram, a speech AI company. Supports executive team with strategic planning, business operations, investor relations, and cross-functional program management.",https://jobs.ashbyhq.com/Deepgram/8e81f991-64d8-4cf2-883f-3fc8aae22fb7,Open,Ashby,2026-02-02,2026-02-02,1,2026-02-02,,,,,
NEW,82,Direct CoS match (exec support at Anzu/JPM); Moderate industry alignment,Rescale,Chief of Staff to CEO,Cloud Computing/HPC,Remote,N/A,Remote,N/A,"Chief of Staff to CEO at Rescale, a cloud-based high performance computing platform for enterprise R&D.",https://jobs.ashbyhq.com/rescale/1598f382-54da-40fe-9946-8bac2fad8514,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,82,Direct CoS match (exec support at Anzu/JPM); Moderate industry alignment,The Flex,Chief of Staff,Fitness/Wellness,Remote,N/A,Remote,N/A,"CEO's strategic right hand - a trusted partner, operator, and execution engine. Company-building position blending strategy, leadership, and action.",https://jobs.ashbyhq.com/The-Flex/584632ea-c04b-42c3-937f-01fe7cfc7c2b,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,82,Partnerships leadership aligns; Enterprise retail/HR tech sector is moderate fit; Pod Lead structure mirrors team leadership at JPM; Khosla-backed,WorkWhile,Global Strategic Partnerships (Pod Lead) Enterprise Retail,HR Tech/Marketplace,Remote - US,N/A,Remote-US,N/A,Pod Lead owning Enterprise Retail segment end-to-end. Strategic architect for winning and scaling enterprise retail partnerships. Backed by Khosla Ventures.,https://jobs.ashbyhq.com/workwhilejobs/ccb1d3e2-9928-4942-8d28-f2481a25b0c5,Open,Ashby,2026-02-23,2026-02-23,1,2026-02-23,,,,,
NEW,82,Partnerships aligns; Live shopping marketplace growing sector; North America and Europe presence,Whatnot,Senior Manager Strategic Partnerships,E-commerce/Marketplace,Remote,N/A,Remote-US,N/A,Senior Manager of Strategic Partnerships at largest live shopping platform in North America and Europe.,https://jobs.ashbyhq.com/whatnot/202d5faf-6088-41f1-93e2-f797a8dd8f10,Open,Ashby,2026-02-23,2026-02-23,1,2026-02-23,,,,,
NEW,79,Strategic initiatives align with DoD program leadership and Nationwide IDEO engagement; Health tech adjacent to insurance/fintech background,Hims & Hers,"Sr. Project Manager, Strategic Initiatives",Health/Wellness,Remote,N/A,Remote,N/A,Senior Project Manager for strategic initiatives at leading health and wellness platform redefining healthcare through customer-first approach.,https://jobs.ashbyhq.com/hims-and-hers/e61dab6e-9ac1-4591-9c31-ad4dba61b610,Open,Ashby,2026-02-09,2026-02-09,2,"2026-02-09,2026-02-23",,,,,
NEW,78,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background); Remote-friendly,april,Chief of Staff,Fintech/Tax Tech,Remote,N/A,Remote,N/A,"Chief of Staff at april, a tax technology company. Supports CEO with strategic planning, business operations, and key growth initiatives.",https://jobs.ashbyhq.com/april/49978b94-2322-471e-af6f-2ad842c57e9c,Open,Ashby,2026-02-02,2026-02-02,1,2026-02-02,,,,,
NEW,78,CoS match but marketing-focused (less aligned with ops/strategy background); Strong AI sector alignment; Remote-US; Lower salary range,Firecrawl,Marketing Chief of Staff,AI/Developer Tools,Remote - US,N/A,Remote-US,"$120,000-$160,000",Marketing Chief of Staff at AI web scraping/data extraction company. $120K-$160K + equity. SF or remote.,https://jobs.ashbyhq.com/firecrawl/d747b598-5d14-4aff-96a5-64b1ea60432c,Open,Ashby,2026-02-02,2026-02-23,3,"2026-02-02, 2026-02-16, 2026-02-23",,,,,
NEW,78,Direct CoS match (exec support at Anzu/JPM); Media sector limited alignment with core experience,The Athletic,Chief of Staff,Media/Sports,Remote - US,N/A,Remote,N/A,"Chief of Staff to Executive Editor, responsible for maximizing effectiveness including project management, executive support, and leading special projects.",https://jobs.lever.co/theathletic/51240683-fefc-48d2-bd55-94742e860204,Open,Lever,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,78,Partnerships aligned with EV/clean energy sector; Remote; $120K-$185K OTE + equity; Energy sector tangential but partnerships role directly matches BD experience,WeaveGrid,Sr. Strategic Partnerships Manager,CleanTech/Energy,Remote - US,N/A,Remote-US,$120000-$185000,"Developing and executing partner-driven growth with automakers, EVSEs, utilities, and adjacent tech providers at clean energy company.",https://himalayas.app/companies/weavegrid/jobs/sr-strategic-partnerships-manager,Blocked,Greenhouse,2026-02-23,2026-02-23,1,2026-02-23,,,,,
NEW,76,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background),Alt,Chief of Staff,Fintech/Alternative Investments,New York City,N/A,In-Office,"$200,000 - $225,000","Chief of Staff at Alt, an alternative asset investment platform. Supports CEO with strategic planning, investor relations, and business development.",https://job-boards.greenhouse.io/alt/jobs/7595398003,Open,Greenhouse,2026-02-02,2026-02-02,1,2026-02-02,,,,,
NEW,75,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background); Remote-friendly,LiveFlow,Chief of Staff,Fintech,Remote,N/A,Remote,N/A,"Chief of Staff at LiveFlow, a financial reporting automation platform. Supports founders with strategic operations, business development, and scaling initiatives.",https://jobs.ashbyhq.com/liveflow/df3eb756-fcb2-4a0a-adff-1556c28b919a,Open,Ashby,2026-02-02,2026-02-02,1,2026-02-02,,,,,
NEW,74,Strategic initiatives align with Anzu/DoD program leadership; Insurtech matches Nationwide experience; Remote-friendly,Oscar Health,"Manager, Strategic Initiatives",Insurtech,Remote - US,N/A,Remote,N/A,"Manager of Strategic Initiatives at Oscar Health, an insurtech company. Leads high-priority cross-functional projects, develops strategic frameworks, and supports executive decision-making.",https://boards.greenhouse.io/oscar/jobs/7326073,Error,Greenhouse,2026-02-02,2026-02-02,1,2026-02-02,,,,,
NEW,74,CoS match but product/tech focused (less aligned with BD/strategy background); Education sector tangential; Remote flexibility positive,Guild,Chief of Staff to the CPTO,Education/HR Tech,Remote - US,N/A,Remote-US,N/A,Chief of Staff to the Chief Product & Technology Officer at education technology company. Remote from 32 approved US states.,https://boards.greenhouse.io/embed/job_board?for=guild,Open,Greenhouse,2026-02-16,2026-02-23,2,"2026-02-16, 2026-02-23",,,,,
NEW,71,Strategic initiatives align with Anzu/DoD program leadership; AI/tech sector aligns with AI automation skills; Remote-friendly,Restaurant365,"Director Strategic Initiatives, AI",Restaurant Tech/AI,Remote,N/A,Remote,N/A,"Director of AI Strategic Initiatives at Restaurant365, a restaurant management platform. Leads AI strategy, identifies AI implementation opportunities, and drives cross-functional AI programs.",https://jobs.lever.co/restaurant365/7219f7d3-9551-48fa-ae64-86a0a64f7973,Open,Lever,2026-02-02,2026-02-02,1,2026-02-02,,,,,
NEW,71,Strategic initiatives align with Anzu/DoD program leadership; Legal tech sector matches JD background; LATAM location aligns with interest,Harvey,"Strategic Business Development Lead, Mexico",Legal Tech/AI,Mexico City,Spanish,Hybrid,N/A,"Strategic Business Development Lead for Harvey AI's Mexico expansion. Leads legal tech business development, builds strategic partnerships with law firms, and drives market entry in Mexico.",https://jobs.ashbyhq.com/harvey/f292e181-fc41-4e9b-b860-2893ea15da41,Open,Ashby,2026-02-02,2026-02-02,1,2026-02-02,,,,,
NEW,70,Strategic initiatives align with Anzu/DoD program leadership; Strong fintech/finance sector fit (JPM/SVB background),AlphaSense,"Senior Director of Strategic Initiatives, Global Markets",Fintech/Market Intelligence,"London, UK",N/A,Hybrid,N/A,"Senior Director overseeing international expansion for AlphaSense, a market intelligence platform. Drives unified global execution, defines market-fit strategies, and serves as strategic advisor to senior leadership.",https://job-boards.greenhouse.io/alphasense/jobs/7979410002,Open,Greenhouse,2026-02-02,2026-02-02,1,2026-02-02,,,,,
NEW,70,Workplace experience role is more HR/operations focused; HR Tech sector tangential; Strategic initiatives component aligns,BetterUp,Workplace Experience & Strategic Initiatives Manager,HR Tech/Coaching,Remote,N/A,Remote-US,N/A,Workplace Experience and Strategic Initiatives Manager at human transformation company. Personal coaching benefit included.,https://jobs.ashbyhq.com/betterup/ed98b120-3cd7-4e66-a1e3-8c2471c77859,Open,Ashby,2026-02-23,2026-02-23,1,2026-02-23,,,,,
